Title,TV Show,Available Globally?,Premiere Year,Hours Viewed (in 1M units)
Spider-Man 2,NaN,No,NaN,10.4
Stillwater (2021),NaN,No,NaN,10.4
The Informer,NaN,No,2020,10.4
The Legend of Korra: Book Three: Change,NaN,No,NaN,10.4
Turning Point: 9/11 and the War on Terror: Limited Series,NaN,Yes,2021,10.4
Vengeance (2017),NaN,No,NaN,10.4
Word Party Presents: Math!: Season 1,Yes,Yes,2021,10.4
Work It,NaN,Yes,2020,10.4
AlRawabi School for Girls: Season 1 // مدرسة الروابي للبنات: موسم 1,Yes,Yes,2021,10.3
Blood & Water: Season 3,Yes,Yes,2022,10.3
Faster (2010),NaN,No,NaN,10.3
Iron Chef: Quest for an Iron Legend: Season 1,Yes,Yes,2022,10.3
Locked Up: Season 3 // Vis a vis: Temporada 3,Yes,No,2019,10.3
Locked Up: Season 4 // Vis a vis: Temporada 4,Yes,No,2019,10.3
Man Vs Bee: Season 1,Yes,Yes,2022,10.3
Pine Gap: Season 1,Yes,No,2018,10.3
PJ Masks: Season 3,Yes,No,NaN,10.3
Simon (2016): Season 3,Yes,No,NaN,10.3
Supernatural (2005): Season 12,Yes,No,NaN,10.3
That's Amor,NaN,Yes,2022,10.3
Thunder Force,NaN,Yes,2021,10.3
Wild Is the Wind,NaN,Yes,2022,10.3
ALVINNN!!! And the Chipmunks: Season 3,Yes,No,NaN,10.2
"Angel's Last Mission: Love: Season 1 // 단,하나의 사랑: 시즌1",Yes,No,NaN,10.2
Bunk'd: Season 5,Yes,No,NaN,10.2
Eternal Love: Season 1 // 三生三世十里桃花: 第 1 季,Yes,No,NaN,10.2
God's Favorite Idiot: Season 1,Yes,Yes,2022,10.2
Intersection: Season 2 // Kördüğüm: 2. Sezon,Yes,Yes,NaN,10.2
iZombie: Season 2,Yes,No,NaN,10.2
Kingdom: Season 1 // 킹덤: 시즌 1,Yes,Yes,2019,10.2
Lawless Lawyer // 무법변호사,NaN,Yes,NaN,10.2
Now You See Me,NaN,No,NaN,10.2
Rim of the World,NaN,Yes,2019,10.2
The Garfield Show: Season 2,Yes,No,NaN,10.2
The Godfather: Part II,NaN,No,NaN,10.2
The Protector: Season 2 // Hakan: Muhafız: 2. Sezon,Yes,Yes,2019,10.2
The Rain: Season 2,Yes,Yes,2019,10.2
The Worst Witch: Season 2,Yes,Yes,2018,10.2
Too Hot to Handle: Season 3,Yes,Yes,2022,10.2
Waltair Veerayya,NaN,No,NaN,10.2
Workin' Moms: Season 4,Yes,Yes,2020,10.2
World Dice Tour: Season 1 // 지구마불 세계여행: 시즌 1,Yes,No,NaN,10.2
Alien TV: Season 1,Yes,Yes,2020,10.1
Animal Crackers,NaN,No,2020,10.1
Bloodline: Season 3,Yes,No,2017,10.1
Curve,NaN,No,NaN,10.1
Frontier: Season 1,Yes,Yes,2017,10.1
How to Lose a Guy in 10 Days,NaN,No,NaN,10.1
I Am All Girls,NaN,Yes,2021,10.1
In the Dark (2019): Season 4,Yes,No,NaN,10.1
JoJo's Bizarre Adventure: Phantom Blood/Battle Tendency // ジョジョの奇妙な冒険: 「ファントムブラッド」「戦闘潮流」,NaN,Yes,2017,10.1
Lenox Hill: Season 1,Yes,Yes,2020,10.1
Mighty Little Bheem: Season 1,Yes,Yes,2019,10.1
Naruto Shippuden: Season 2 // NARUTO-ナルト- 疾風伝: サスケ再会編,Yes,No,NaN,10.1
ONE PIECE: Enter Chopper at the Winter Island // ワンピース: チョッパー登場･冬島編,NaN,No,NaN,10.1
Shutter Island,NaN,No,NaN,10.1
The Ballad of Buster Scruggs,NaN,Yes,2018,10.1
Top Gun,NaN,No,NaN,10.1
Atypical: Season 3,Yes,Yes,2019,10.0
Barbie Dreamhouse Adventures: Season 2,Yes,No,NaN,10.0
Friday Night Lights: Season 1,Yes,No,NaN,10.0
In the Dark (2019): Season 2,Yes,No,NaN,10.0
Last Seen Alive (2022),NaN,No,NaN,10.0
Mighty Morphin Power Rangers: Season 1,Yes,No,NaN,10.0
My First First Love: Season 1 // 첫사랑은 처음이라서: 시즌 1,Yes,Yes,2019,10.0
Paradise PD: Part 3,NaN,Yes,2021,10.0
Ratched: Season 1,Yes,Yes,2020,10.0
Salvation: Season 1,Yes,No,NaN,10.0
The 5th Wave,NaN,No,NaN,10.0
The Company Men,NaN,No,NaN,10.0
The Epic Tales of Captain Underpants: Season 2,Yes,Yes,2019,10.0
The Irregulars: Season 1,Yes,Yes,2021,10.0
Velvet: Season 1,Yes,No,NaN,10.0
13 Reasons Why: Season 4,Yes,Yes,2020,9.9
Atypical: Season 2,Yes,Yes,2018,9.9
Bill Russell: Legend,NaN,Yes,2023,9.9
Dirty John: Betty Broderick,NaN,No,2020,9.9
Falling Inn Love,NaN,Yes,2019,9.9
Fugitiva: Season 1,Yes,Yes,2018,9.9
Grace and Frankie: Season 3,Yes,Yes,2017,9.9
Healer: Season 1 // 힐러: 시즌1,Yes,No,NaN,9.9
Intimacy: Season 1 // Intimidad: Season 1,Yes,Yes,2022,9.9
Mighty Little Bheem: Season 2,Yes,Yes,2019,9.9
Olympus Has Fallen,NaN,No,NaN,9.9
PAW Patrol: Season 1,Yes,No,NaN,9.9
Pinkfong Sing-Along Movie 2: Wonderstar Concert,NaN,Yes,NaN,9.9
Spirit Riding Free: Season 1,Yes,No,2017,9.9
Supernatural (2005): Season 13,Yes,No,NaN,9.9
The Founder (2016),NaN,No,NaN,9.9
The Last Witch Hunter,NaN,No,NaN,9.9
The Unholy (2021),NaN,No,NaN,9.9
You Don't Know Me: Season 1,Yes,Yes,2022,9.9
All Hail King Julien: Season 1,Yes,Yes,2014,9.8
Barbie: Princess Charm School,NaN,No,NaN,9.8
Chocolate: Season 1 // 초콜릿: 시즌 1,Yes,Yes,2019,9.8
Community: Season 4,Yes,Yes,NaN,9.8
Far From Home: Season 1,Yes,Yes,2022,9.8
Grizzy and the Lemmings: Season 3,Yes,No,NaN,9.8
Heartland (2007): Season 14,Yes,No,NaN,9.8
Homefront (2013),NaN,No,NaN,9.8
Johnny Test (2005): Season 6,Yes,No,NaN,9.8
Kuroko's Basketball: Season 3 // 黒子のバスケ: 3rd SEASON,Yes,No,NaN,9.8
Once Upon a Time in Hollywood,NaN,No,NaN,9.8
ONE PIECE: Goodbye Going Merry // ワンピース: さよならメリー号編,NaN,No,NaN,9.8
Pokémon Master Journeys: The Series: Part 1,NaN,No,2021,9.8
Rainbow High: Season 3,Yes,Yes,NaN,9.8
Seinfeld: Season 1,Yes,Yes,NaN,9.8
The Bride of Habaek: Season 1 // 하백의 신부: 시즌 1,Yes,No,NaN,9.8
The Ice Road,NaN,No,2021,9.8
Unbroken (2014),NaN,No,NaN,9.8
Well-Intended Love: Season 1 // 奈何 Boss 要娶我: 第 1 季,Yes,No,2019,9.8
Wok of Love: Season 1 // 기름진 멜로: 시즌 1,Yes,No,NaN,9.8
A League of Their Own (1992),NaN,No,NaN,9.7
Close,NaN,No,2019,9.7
Disenchantment: Part 4,NaN,Yes,2022,9.7
Gunther's Millions: Limited Series,NaN,Yes,2023,9.7
Jupiter's Legacy: Volume 1,NaN,Yes,2021,9.7
Kingdom: Ashin of the North // 킹덤: 아신전,NaN,Yes,2021,9.7
Kung Fu Panda 2,NaN,No,NaN,9.7
Mulligan: Part 1,NaN,Yes,2023,9.7
My Little Pony: Make Your Mark: Chapter 2,NaN,Yes,2022,9.7
On My Block: Season 3,Yes,Yes,2020,9.7
ONE PIECE: CP9 // ワンピース: CP9編,NaN,No,NaN,9.7
Some Assembly Required: Season 1,Yes,Yes,2015,9.7
Supergirl: Season 3,Yes,No,NaN,9.7
The Forest: Season 1 // La Forêt: Saison 1,Yes,Yes,2018,9.7
The Sleepover,NaN,Yes,2020,9.7
8 Mile,NaN,No,NaN,9.6
Animal: Season 2,Yes,Yes,2022,9.6
Grace and Frankie: Season 4,Yes,Yes,2018,9.6
Great British Baking Show: Juniors: Season 7,Yes,No,2023,9.6
Ingobernable: Season 2,Yes,Yes,2018,9.6
Longmire: Season 1,Yes,No,2013,9.6
Love & Other Drugs,NaN,No,NaN,9.6
No Strings Attached (2011),NaN,No,NaN,9.6
Set It Up,NaN,Yes,2018,9.6
Sextuplets,NaN,Yes,2019,9.6
She's the Man,NaN,No,NaN,9.6
The Epic Tales of Captain Underpants: Season 3,Yes,Yes,2019,9.6
The Father (2021),NaN,No,NaN,9.6
The Lady in Dignity: Season 1 // 품위있는 그녀: 시즌 1,Yes,Yes,NaN,9.6
Tom and Jerry Tales: Season 2,Yes,No,NaN,9.6
Unsolved Mysteries: Volume 1,NaN,Yes,2020,9.6
A Sunday Affair,NaN,Yes,2023,9.5
Against The Ice,NaN,Yes,2022,9.5
Along Came Polly,NaN,No,NaN,9.5
Beyond Evil // 괴물,NaN,No,NaN,9.5
Black Spot: Season 1 // Zone Blanche: Saison 1,Yes,No,2019,9.5
Dream Home Makeover: Season 4,Yes,Yes,2022,9.5
Dumplin',NaN,No,2018,9.5
Glitch: Season 3,Yes,Yes,2019,9.5
Hold Tight: Limited Series // Zachowaj spokój: Miniserial,NaN,Yes,2022,9.5
Hot Skull: Season 1 // Sıcak Kafa: Season 1,Yes,Yes,2022,9.5
iZombie: Season 1,Yes,No,NaN,9.5
Santa Clarita Diet: Season 1,Yes,Yes,2017,9.5
SKY Castle: Season 1 // SKY 캐슬: 시즌 1,Yes,Yes,NaN,9.5
Sonic X: Season 1 // ソニックX: シーズン1,Yes,Yes,NaN,9.5
The Alienist,NaN,No,2018,9.5
The Bureau of Magical Things: Season 2,Yes,No,NaN,9.5
The Impossible,NaN,No,NaN,9.5
Time Trap,NaN,No,NaN,9.5
A Fall from Grace,NaN,Yes,2020,9.4
Dracula: Season 1,Yes,Yes,2020,9.4
Formula 1: Drive to Survive: Season 3,Yes,Yes,2021,9.4
Keeping Up with the Kardashians: Season 11,Yes,No,NaN,9.4
Kong: King of the Apes: Season 1,Yes,Yes,2016,9.4
Last Chance U: Basketball: Season 2,Yes,Yes,2022,9.4
Major Grom: Plague Doctor // Майор Гром: Чумной Доктор,NaN,No,2021,9.4
Rich in Love 2 // Ricos de Amor 2,NaN,Yes,2023,9.4
Split (2016),NaN,No,NaN,9.4
Talking Tom and Friends: Season 2,Yes,No,NaN,9.4
"That Winter, the Wind Blows: Season 1 // 그 겨울, 바람이 분다: 시즌 1",Yes,No,NaN,9.4
The Legend of Korra: Book Four: Balance,NaN,No,NaN,9.4
The New Legends of Monkey: Season 1,Yes,Yes,2018,9.4
The Penthouse: War in Life: Season 1 // 펜트하우스: 시즌1,Yes,No,NaN,9.4
The Princess Weiyoung: Season 1 // 錦繡未央: 第 1 季 // 锦绣未央: 第 1 季,Yes,No,NaN,9.4
To Leslie,NaN,No,NaN,9.4
A Clean Sweep: Part 2 // 최강야구: Part 2,NaN,Yes,NaN,9.3
Arpo: Season 1,Yes,Yes,NaN,9.3
BoJack Horseman: Season 3,Yes,Yes,2016,9.3
Control Z: Season 1,Yes,Yes,2020,9.3
Next Day Air,NaN,No,NaN,9.3
Peter Rabbit: Season 1,Yes,No,NaN,9.3
Ponyo // 崖の上のポニョ,NaN,No,NaN,9.3
Taboo (2017): Season 1,Yes,No,NaN,9.3
The Best of Me,NaN,No,NaN,9.3
The Big Show Show: Part 1,NaN,Yes,2020,9.3
The F**k-It List,NaN,Yes,NaN,9.3
The Kingdom: Season 2 // El Reino: Season 2,Yes,Yes,2023,9.3
The Rain: Season 3,Yes,Yes,2020,9.3
Travelers: Season 3,Yes,Yes,2018,9.3
Wedding Season,Yes,Yes,2022,9.3
Wonder Park,NaN,No,NaN,9.3
Worst Roommate Ever: Season 1,Yes,Yes,2022,9.3
Bee Movie,NaN,No,NaN,9.2
Black Butterflies: Limited Series // Les papillons noirs: Mini-série,NaN,Yes,2022,9.2
DC's Legends of Tomorrow: Season 1,Yes,No,NaN,9.2
Double XL // डबल XL,NaN,No,NaN,9.2
DreamWorks Shrek's Swamp Stories: Volume 1,NaN,No,NaN,9.2
Escape Plan,NaN,No,NaN,9.2
Family Reunion: Part 4,NaN,Yes,2021,9.2
Formula 1: Drive to Survive: Season 2,Yes,Yes,2020,9.2
Heartland (2007): Season 2,Yes,No,NaN,9.2
House of Cards: Season 4,Yes,No,2016,9.2
House of Cards: Season 5,Yes,No,2017,9.2
In the Dark (2019): Season 3,Yes,No,NaN,9.2
Legion (2010),NaN,No,NaN,9.2
Longmire: Season 2,Yes,No,2014,9.2
Madam Secretary: Season 2,Yes,No,NaN,9.2
Mako Mermaids: An H2O Adventure: Season 4,Yes,No,2016,9.2
Naruto Shippuden: Season 5 // NARUTO-ナルト- 疾風伝: 三尾編,Yes,No,NaN,9.2
Pride & Prejudice,NaN,No,NaN,9.2
Rescued by Ruby,NaN,Yes,2022,9.2
Selling Sunset: Season 1,Yes,Yes,2019,9.2
Sh**ting Stars: Season 1 // 별똥별: 시즌 1,Yes,No,NaN,9.2
Smother-in-Law: Season 1 // A Sogra que te pariu: Season 1,Yes,Yes,2022,9.2
The Mick: Season 1,Yes,No,NaN,9.2
The Pledge (2001),NaN,No,NaN,9.2
The Serpent: Limited Series,NaN,Yes,2021,9.2
The Weekend Away,NaN,Yes,2022,9.2
Tooth Pari: When Love Bites: Limited Series // टूथ परी: व्हेन लव बाइट्स: लिमिटेड सीरीज़,NaN,Yes,2023,9.2
You Are My Spring: Season 1 // 너는 나의 봄: 시즌 1,Yes,Yes,2021,9.2
African Queens: Njinga: Limited Series,NaN,Yes,2023,9.1
Atypical: Season 4,Yes,Yes,2021,9.1
BoJack Horseman: Season 6,Yes,Yes,2019,9.1
Burnt,NaN,No,NaN,9.1
Dated and Related: Season 1,Yes,Yes,2022,9.1
Deadly Illusions (2021),NaN,Yes,NaN,9.1
Grace and Frankie: Season 5,Yes,Yes,2019,9.1
Grace and Frankie: Season 6,Yes,Yes,2020,9.1
Heirs to the Land: Season 1 // Los herederos de la tierra: Temporada 1,Yes,Yes,2022,9.1
"Love, Death & Robots: Volume 1",NaN,Yes,2019,9.1
Oh Belinda // Aaahh Belinda,NaN,Yes,2023,9.1
Peter Rabbit: Season 2,Yes,No,NaN,9.1
Secrets of Summer: Season 2 // Cielo Grande: Season 2,Yes,Yes,2022,9.1
Suspicious Partner: Season 1 // 수상한 파트너: 시즌 1,Yes,No,NaN,9.1
The Forever Purge,NaN,No,NaN,9.1
The Great British Baking Show: Collection 5,NaN,No,2018,9.1
The Ranch: Part 5,NaN,Yes,2018,9.1
The Stepfather (2009),NaN,No,NaN,9.1
The Wedding Ringer,NaN,No,NaN,9.1
The Wolf of Wall Street,NaN,No,NaN,9.1
Twins (1988),NaN,No,NaN,9.1
Warriors of Future // 明日戰記 // 明日战记,NaN,Yes,2022,9.1
Why didn’t I tell you a million times?: Season 1 // 100万回 言えばよかった: シーズン1,Yes,No,NaN,9.1
3Below: Tales of Arcadia: Part 1,NaN,Yes,2018,9.0
Annihilation,NaN,No,2018,9.0
Bella and the Bulldogs: Season 2,Yes,No,NaN,9.0
Black Lightning: Season 2,Yes,No,2018,9.0
Boruto: Naruto Next Generations: Season 1 // BORUTO ボルト NEXT GENERATIONS: シーズン1,Yes,No,NaN,9.0
Boyz n the Hood,NaN,No,NaN,9.0
Extinct,NaN,No,2021,9.0
From Me to You: Kimi ni Todoke // 君に届け,NaN,Yes,NaN,9.0
Grey's Anatomy: Season 19,Yes,No,NaN,9.0
Heartland (2007): Season 1,Yes,No,NaN,9.0
News of the World,NaN,No,2021,9.0
Red Dragon,NaN,No,NaN,9.0
Sir (Hindi) (2023),NaN,No,NaN,9.0
Thai Cave Rescue: Limited Series // ถ้ำหลวง: ภารกิจแห่งความหวัง: ลิมิเต็ดซีรีส์,NaN,Yes,2022,9.0
The Romantics: Limited Series,NaN,Yes,2023,9.0
The Vampire Diaries: Season 1,Yes,No,NaN,9.0
Alias Grace: Limited Series,NaN,Yes,2017,8.9
Barbershop 2: Back in Business,NaN,No,NaN,8.9
Bigfoot Family,NaN,No,2021,8.9
Clifford the Big Red Dog (2021),NaN,No,NaN,8.9
Extracurricular: Season 1 // 인간수업: 시즌 1,Yes,Yes,2020,8.9
Hot Stove League: Season 1 // 스토브리그: 시즌1,Yes,No,NaN,8.9
Human: The World Within: Limited Series,NaN,Yes,2021,8.9
iCarly (2007): Season 5,Yes,No,NaN,8.9
LEGO® DREAMZzz: Trials of the Dream Chasers,NaN,Yes,NaN,8.9
Longmire: Season 6,Yes,No,2017,8.9
Lost Girls,NaN,Yes,2020,8.9
Mako Mermaids: An H2O Adventure: Season 2,Yes,No,2015,8.9
Mile 22,NaN,No,NaN,8.9
Mr. Peabody & Sherman,NaN,No,NaN,8.9
My Secret Romance: Season 1 // 애타는 로맨스: 시즌 1,Yes,Yes,NaN,8.9
Parasyte: The Maxim: Season 1 // 寄生獣 セイの格率: シーズン1,Yes,No,NaN,8.9
Pitch Perfect 3,NaN,No,NaN,8.9
Primal Fear,NaN,No,NaN,8.9
Rust Valley Restorers: Season 1,Yes,Yes,2019,8.9
Sense8: Season 1,Yes,Yes,2015,8.9
The Accountant (2016),NaN,No,NaN,8.9
The Disastrous Life of Saiki K.: Season 2 // 斉木楠雄のΨ難: シーズン2,Yes,Yes,NaN,8.9
The Meg,NaN,No,NaN,8.9
The Ranch: Part 6,NaN,Yes,2018,8.9
Trash Truck: Season 2,Yes,Yes,2021,8.9
A Clean Sweep: Part 1 // 최강야구: Part 1,NaN,Yes,NaN,8.8
After Life: Season 1,Yes,Yes,2019,8.8
American Pickers: Season 15,Yes,No,NaN,8.8
Blackhat,NaN,No,NaN,8.8
Dracula Untold,NaN,No,NaN,8.8
El infierno,NaN,No,NaN,8.8
Ghost Doctor // 고스트 닥터,NaN,No,NaN,8.8
Ghost Wars: Season 1,Yes,No,2018,8.8
Greenleaf: Season 2,Yes,Yes,2017,8.8
Happiness // 해피니스,NaN,No,NaN,8.8
Island of the Sea Wolves: Limited Series,NaN,Yes,2022,8.8
LEGO Ninjago: Masters of Spinjitzu: The Tournament of Elements,NaN,No,NaN,8.8
Longmire: Season 4,Yes,No,2015,8.8
Longmire: Season 5,Yes,No,2016,8.8
Lottie Dottie Chicken: 1ª temporada // Galinha Pintadinha: 1ª temporada,NaN,No,NaN,8.8
Naruto: Season 8 // NARUTO-ナルト-: オリジナル編3,Yes,No,NaN,8.8
Next Gen,NaN,Yes,2018,8.8
Paradise PD: Part 1,NaN,Yes,2018,8.8
Sniper: Assassin's End,NaN,No,NaN,8.8
Superstore: Season 6,Yes,No,NaN,8.8
The Last Airbender,NaN,No,NaN,8.8
The Powerpuff Girls (1998): Season 1,Yes,No,NaN,8.8
The Real Bling Ring: Hollywood Heist: Limited Series,NaN,Yes,2022,8.8
When Missing Turns to Murder: Season 2,Yes,No,NaN,8.8
Word Party: Season 1,Yes,Yes,2016,8.8
Z Nation: Season 1,Yes,No,NaN,8.8
Zookeeper,NaN,No,NaN,8.8
1922,NaN,Yes,2017,8.7
Beyblade Burst Surge: Season 1 // ベイブレードバースト スパーキング: シーズン1,Yes,No,NaN,8.7
Doctor Stranger: Season 1 // 닥터 이방인: Season 1,Yes,No,NaN,8.7
"Hello, Me!: Season 1 // 안녕? 나야!: 시즌 1",Yes,Yes,2021,8.7
Hold the Dark,NaN,Yes,2018,8.7
Hunter X Hunter (2011): Season 2 // HUNTER×HUNTER: シーズン2,Yes,No,NaN,8.7
"Jenni Rivera: Mariposa de Barrio: Season 1 // Jenni Rivera: Mariposa de Barrio, la serie: Temporada 1",Yes,No,NaN,8.7
Knowing,NaN,No,NaN,8.7
Larva: Season 1,Yes,Yes,NaN,8.7
Larva Island: Season 2,Yes,Yes,2019,8.7
Lottie Dottie Chicken: 3ª temporada // Galinha Pintadinha: 3ª temporada,NaN,No,NaN,8.7
Meet Yourself // 去有風的地方 // 去有风的地方,NaN,No,NaN,8.7
Monster Hunter,NaN,No,NaN,8.7
Pokémon Master Journeys: The Series: Part 2,NaN,No,2022,8.7
Ridley Jones: Season 5,Yes,Yes,2023,8.7
S.W.A.T.: Firefight,NaN,No,NaN,8.7
Teenage Mutant Ninja Turtles (2012): Season 2,Yes,No,NaN,8.7
The Change-Up,NaN,No,NaN,8.7
The OA: Part II,NaN,Yes,2019,8.7
The Untamed: Season 1 // 陳情令: 第 1 季 // 陈情令: 第 1 季,Yes,No,NaN,8.7
Wizards: Tales of Arcadia: Season 1,Yes,Yes,2020,8.7
You vs. Wild: Season 1,Yes,Yes,2019,8.7
Zero Chill: Season 1,Yes,Yes,2021,8.7
44 Cats: Season 2 (Part 2),Yes,No,NaN,8.6
Blonde,NaN,Yes,2022,8.6
Blood & Water: Season 1,Yes,Yes,2020,8.6
BoJack Horseman: Season 4,Yes,Yes,2017,8.6
Chip and Potato: Season 3,Yes,No,2022,8.6
Conversations with a Killer: The Jeffrey Dahmer Tapes: Limited Series,NaN,Yes,2022,8.6
Familiar Wife: Season 1 // 아는 와이프: 시즌1,Yes,Yes,NaN,8.6
Four Good Days,NaN,No,NaN,8.6
Funny People (2009),NaN,No,NaN,8.6
Heartland (2007): Season 4,Yes,No,NaN,8.6
Lottie Dottie Chicken: 4ª temporada // Galinha Pintadinha: 4ª temporada,NaN,No,NaN,8.6
Lottie Dottie Chicken: 5ª temporada // Galinha Pintadinha: 5ª temporada,NaN,No,NaN,8.6
Love Alarm: Season 2 // 좋아하면 울리는: 시즌 2,Yes,Yes,2021,8.6
Love Never Lies: Destination Sardinia: Season 1 // Amor con fianza: Destino Cerdeña: Temporada 1,Yes,Yes,2022,8.6
María Magdalena: Season 1,Yes,No,NaN,8.6
Neon Genesis Evangelion: Season 1 // 新世紀エヴァンゲリオン: シーズン1,Yes,Yes,NaN,8.6
Signal: Season 1 // 시그널: 시즌 1,Yes,No,NaN,8.6
The Expendables 3,NaN,No,NaN,8.6
The Interview (2014),NaN,No,NaN,8.6
The Other Guys,NaN,No,NaN,8.6
The Stranger,NaN,No,2022,8.6
Trollhunters: Rise of the Titans,NaN,Yes,2021,8.6
Türkisch für Anfänger: Staffel 2,NaN,No,NaN,8.6
Vadh // वध,NaN,No,NaN,8.6
Van Helsing (2004),NaN,No,NaN,8.6
You Cannot Hide: Season 1 // No te puedes esconder: Temporada 1,Yes,No,2020,8.6
Young Royals: Season 1,Yes,Yes,2021,8.6
Around the World in 80 Days (2004),NaN,No,NaN,8.5
Away: Season 1,Yes,Yes,2020,8.5
Black Clover II // ブラッククローバー II,NaN,No,NaN,8.5
Community: Season 5,Yes,Yes,NaN,8.5
Emily the Criminal,NaN,No,NaN,8.5
Just Like Heaven,NaN,No,NaN,8.5
Making Fun: Season 1,Yes,Yes,2022,8.5
Mighty Little Bheem: Season 3,Yes,Yes,2020,8.5
Mo: Season 1,Yes,Yes,2022,8.5
My Country: The New Age: Season 1 // 나의 나라: 시즌 1,Yes,Yes,2019,8.5
Naruto Shippuden: Season 20 // NARUTO-ナルト- 疾風伝: 忍界大戦編(7),Yes,No,NaN,8.5
"Nicky, Ricky, Dicky & Dawn: Season 4",Yes,No,NaN,8.5
Night Teeth,NaN,Yes,2021,8.5
ONE PIECE: Enies Lobby // ワンピース: エニエス・ロビー編,NaN,No,NaN,8.5
Peter Rabbit (2018),NaN,No,NaN,8.5
Resurrection: Ertugrul: Season 1 // Diriliş: Ertuğrul: 1. Sezon,Yes,No,NaN,8.5
Risen (2016),NaN,No,NaN,8.5
Sand Castle,NaN,Yes,2017,8.5
Smiley: Season 1,Yes,Yes,2022,8.5
Stranger: Season 2 // 비밀의 숲: 시즌 2,Yes,Yes,2020,8.5
The Christmas Chronicles: Part Two,NaN,Yes,2020,8.5
The Devil All The Time,NaN,Yes,2020,8.5
The Lodge (2019),NaN,No,NaN,8.5
The Queen and the Conqueror: Season 1 // La reina de Indias y el conquistador: Temporada 1,Yes,No,2020,8.5
The Worst Witch: Season 3,Yes,Yes,2019,8.5
Tower Heist,NaN,No,NaN,8.5
Weightlifting Fairy Kim Bok Joo: Season 1 // 역도요정 김복주: 시즌 1,Yes,No,NaN,8.5
10 Minutes Gone,NaN,No,NaN,8.4
Aftershock: Everest and the Nepal Earthquake: Limited Series,NaN,Yes,2022,8.4
Angels & Demons,NaN,No,NaN,8.4
Archive 81: Season 1,Yes,Yes,2022,8.4
"Big Mommas: Like Father, Like Son",NaN,No,NaN,8.4
Black Clover III // ブラッククローバー III,NaN,No,NaN,8.4
Community: Season 6,Yes,Yes,NaN,8.4
Dearest: Season 1 // 最愛: シーズン1,Yes,No,NaN,8.4
Family Secrets: Season 1 // Gry rodzinne: Sezon 1,Yes,Yes,2022,8.4
Heartland (2007): Season 3,Yes,No,NaN,8.4
Kick-Ass 2,NaN,No,NaN,8.4
"Love, Death & Robots: Volume 3",NaN,Yes,2022,8.4
Madam Secretary: Season 3,Yes,No,NaN,8.4
My Little Pony: Make Your Mark: Chapter 4,NaN,Yes,2023,8.4
No Limit // Sous emprise,NaN,Yes,2022,8.4
Pup Academy: Season 2,Yes,Yes,2020,8.4
Queer Eye: Season 6,Yes,Yes,2021,8.4
Rocky (1976),NaN,No,NaN,8.4
Santo: Season 1,Yes,Yes,2022,8.4
The Da Vinci Code,NaN,No,NaN,8.4
Trailer Park Boys: Season 5,Yes,Yes,2010,8.4
Van Helsing: Season 2,Yes,Yes,2018,8.4
72 Dangerous Animals: Asia: Limited Series,NaN,No,2018,8.3
Ancient Aliens: Season 4,Yes,No,NaN,8.3
Bert Kreischer: Razzle Dazzle,NaN,Yes,2023,8.3
Blood & Water: Season 2,Yes,Yes,2021,8.3
Dirty John: John Meehan,NaN,No,2019,8.3
Hellbound: Season 1 // 지옥: 시즌 1,Yes,Yes,2021,8.3
Marcella: Season 1,Yes,Yes,2016,8.3
One Day at a Time: Season 1,Yes,Yes,2017,8.3
Outlaw King,NaN,Yes,2018,8.3
Paddington (2014),NaN,No,NaN,8.3
Pokémon Journeys: The Series // ポケットモンスター,NaN,No,NaN,8.3
Resort to Love,NaN,Yes,2021,8.3
Resurrection: Ertugrul: Season 2 // Diriliş: Ertuğrul: 2. Sezon,Yes,No,NaN,8.3
Richie Rich: Season 1,Yes,Yes,2015,8.3
She was pretty: Season 1 // 그녀는 예뻤다: 시즌 1,Yes,No,NaN,8.3
Supernatural (2005): Season 15,Yes,No,NaN,8.3
The Hitman’s Bodyguard,NaN,No,2017,8.3
The Midnight Sky,NaN,Yes,2020,8.3
Welcome to Waikiki // 으라차차 와이키키,NaN,Yes,NaN,8.3
Abby Hatcher: Season 1,Yes,No,NaN,8.2
Aftermath (2021),NaN,No,NaN,8.2
Assassin's Creed,NaN,No,NaN,8.2
Bread Barbershop: Season 2,Yes,Yes,NaN,8.2
Dawn of the Croods: Season 4,Yes,No,2017,8.2
Haikyu!! // ハイキュー!!,NaN,No,NaN,8.2
Holy Family: Season 1 // Sagrada familia: Season 1,Yes,Yes,2022,8.2
Killer Sally: Limited Series,NaN,Yes,2022,8.2
Life After Death with Tyler Henry: Season 1,Yes,Yes,2022,8.2
Longest Third Date,NaN,Yes,2023,8.2
Lost Bullet // Balle perdue,NaN,Yes,2020,8.2
Mr. Iglesias: Part 1,NaN,Yes,2019,8.2
My Golden Life // 황금빛 내 인생,NaN,No,NaN,8.2
My Hero Academia: Season 2 // 僕のヒーローアカデミア: シーズン2,Yes,No,NaN,8.2
Pedal to Metal: Season 1 // Dale gas: Temporada 1,Yes,No,2022,8.2
Pokémon Master Journeys: The Series: Part 3,NaN,No,2022,8.2
Ride Along 2,NaN,No,NaN,8.2
Savage Beauty: Season 1,Yes,Yes,2022,8.2
Snowpiercer: Season 2,Yes,No,2021,8.2
Teenage Parents: Season 3 // 어른들은 모르는 고딩엄빠: 시즌3,Yes,No,NaN,8.2
The Fairly OddParents: Season 1,Yes,No,NaN,8.2
