Title,TV Show,Available Globally?,Premiere Year,Hours Viewed (in 1M units)
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",NaN,No,NaN,95.8
The Blacklist: Season 9,Yes,No,NaN,95.7
That '90s Show: Part 1,NaN,Yes,2023,95.1
You: Season 2,Yes,Yes,2019,95.0
La Reina del Sur: Season 1,Yes,No,2011,94.7
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,Yes,2022,94.6
New Amsterdam (2018): Season 2,Yes,No,NaN,94.4
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,Yes,2023,94.3
Breaking Bad: Season 4,Yes,No,NaN,94.3
Obsession: Limited Series,NaN,Yes,2023,94.2
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,NaN,Yes,2023,92.9
La Reina del Sur: Season 2,Yes,No,2019,92.5
Hunger // คนหิว เกมกระหาย,NaN,Yes,2023,92.3
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,Yes,2020,92.2
CoComelon: Season 3,Yes,No,2021,91.4
Firefly Lane: Season 1,Yes,Yes,2021,91.2
Women at War: Limited Series // Les Combattantes: Mini-série,NaN,Yes,2022,90.8
Formula 1: Drive to Survive: Season 5,Yes,Yes,2023,90.2
Sweet Tooth: Season 1,Yes,Yes,2021,89.0
S.W.A.T. (2017): Season 1,Yes,No,NaN,88.6
Murder Mystery,NaN,Yes,2019,87.9
True Beauty // 여신강림,NaN,No,NaN,87.3
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,Yes,2021,87.2
Little Angel: Volume 2,NaN,Yes,NaN,86.2
Manifest: Season 2,Yes,No,2021,86.2
Extraction,NaN,Yes,2020,86.1
Lucifer: Season 2,Yes,No,2017,86.1
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,NaN,Yes,2022,86.0
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,Yes,2022,85.4
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,Yes,2023,85.0
Florida Man: Limited Series,NaN,Yes,2023,84.6
Lucifer: Season 1,Yes,No,2017,84.4
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,Yes,2023,83.6
Breaking Bad: Season 1,Yes,No,NaN,83.2
The Last Kingdom: Seven Kings Must Die,NaN,Yes,2023,83.2
Selling Sunset: Season 6,Yes,Yes,2023,82.8
CoComelon: Season 4,Yes,No,2021,82.5
Suits (2011): Season 3,Yes,Yes,NaN,82.5
Sam & Cat: Season 1,Yes,No,NaN,82.4
Gilmore Girls: Season 1,Yes,Yes,NaN,82.1
Sonic Prime: Season 1,Yes,Yes,2022,82.1
Peppa Pig: Season 1,Yes,No,NaN,81.8
Manifest: Season 3,Yes,No,2021,81.7
Roald Dahl's Matilda The Musical,NaN,Yes,2022,81.0
Better Call Saul: Season 6,Yes,No,2022,80.8
Sing (2016),NaN,No,NaN,80.5
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,Yes,No,NaN,80.3
All Quiet on the Western Front // Im Westen nichts Neues,NaN,Yes,2022,80.0
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,Yes,2023,79.7
Alpha Males: Season 1 // Machos alfa: Season 1,Yes,No,2022,78.2
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,Yes,No,2023,78.2
Chupa,NaN,Yes,2023,77.8
Stranger Things,NaN,Yes,2016,77.8
Paw Patrol: The Movie,NaN,No,NaN,77.2
Sing 2,NaN,No,NaN,76.6
The Crown: Season 5,Yes,Yes,2022,76.3
Next in Fashion: Season 2,Yes,Yes,2023,75.7
Gilmore Girls: Season 2,Yes,Yes,NaN,75.2
Lucifer: Season 5,Yes,No,2020,75.2
The Boss Baby,NaN,No,NaN,75.1
Treason: Limited Series,NaN,Yes,2022,74.3
Trolls,NaN,No,NaN,73.4
Blood Ties: Season 1 // Las Villamizar: Season 1,Yes,No,NaN,73.3
Money Heist: Part 1 // La casa de papel: Parte 1,NaN,Yes,2017,73.1
Rough Diamonds: Season 1,Yes,Yes,2023,72.8
Vincenzo: Season 1 // 빈센조: 시즌 1,Yes,Yes,2021,72.8
The Walking Dead: Season 10,Yes,No,NaN,72.2
The Witcher: Season 1,Yes,Yes,2019,72.2
Gabby's Dollhouse: Season 1,Yes,Yes,2021,71.6
The Walking Dead: Season 3,Yes,No,NaN,71.6
Carrossel,NaN,No,NaN,71.3
Gilmore Girls: Season 3,Yes,Yes,NaN,71.3
Red Rose: Season 1,Yes,Yes,2023,71.1
Fauda: Season 4 // פאודה: עונה 4,Yes,Yes,2023,71.0
New Amsterdam (2018): Season 3,Yes,No,NaN,70.6
Gilmore Girls: Season 5,Yes,Yes,NaN,69.9
Gilmore Girls: Season 4,Yes,Yes,NaN,69.8
The Blacklist: Season 2,Yes,No,NaN,69.7
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",NaN,Yes,2023,69.5
Stranger Things 2,NaN,Yes,2017,69.2
Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,Yes,Yes,2021,69.0
Love Is Blind: Season 3,Yes,Yes,2022,68.9
Kill Boksoon // 길복순,NaN,Yes,2023,68.5
The Thundermans: Season 1,Yes,No,NaN,68.5
The Flash (2014): Season 1,Yes,No,NaN,68.2
Red Notice,NaN,Yes,2021,68.1
Henry Danger: Season 1,Yes,No,NaN,67.8
The Queen of Flow: Season 2 // La reina del flow: Temporada 2,Yes,No,2021,67.8
The Walking Dead: Season 2,Yes,No,NaN,67.7
Viking Wolf // Vikingulven,NaN,Yes,2023,67.5
Designated Survivor: Season 2,Yes,Yes,2017,67.2
Bebefinn: Season 1,Yes,Yes,NaN,67.1
Hotel Transylvania 2,NaN,No,NaN,67.0
Stranger Things 3,NaN,Yes,2019,67.0
Masha and the Bear: Season 1,Yes,No,NaN,66.7
Outlander: Season 1,Yes,No,2016,66.5
Grizzy and the Lemmings: Season 2,Yes,No,NaN,66.0
Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,Yes,2022,65.9
The Witcher: Blood Origin: Limited Series,NaN,Yes,2022,65.3
The Nurse: Limited Series // Sygeplejersken: Miniserie,NaN,Yes,2023,65.2
The Watcher: Season 1,Yes,Yes,2022,64.4
Jumanji: The Next Level,NaN,No,NaN,64.3
Suits (2011): Season 4,Yes,Yes,NaN,64.2
Gilmore Girls: Season 6,Yes,Yes,NaN,63.9
The Tailor: Season 1 // Terzi: 1. Sezon,Yes,Yes,2023,63.9
All American: Season 5,Yes,No,NaN,63.7
Peppa Pig: Season 2,Yes,No,NaN,63.7
DAHMER: Monster: The Jeffrey Dahmer Story,NaN,Yes,2022,63.5
The Blacklist: Season 3,Yes,No,NaN,63.5
Narvik,NaN,No,2023,63.1
Home (2015),NaN,No,NaN,62.8
The Sea Beast,NaN,Yes,2022,62.7
The Walking Dead: Season 4,Yes,No,NaN,62.3
Harry & Meghan: Limited Series,NaN,Yes,2022,62.0
The Walking Dead: Season 5,Yes,No,NaN,62.0
My Dad the Bounty Hunter: Season 1,Yes,Yes,2023,61.8
Dog Gone,NaN,Yes,2023,61.6
Maid: Limited Series,NaN,Yes,2021,61.5
Pasión de Gavilanes: Season 2,Yes,No,NaN,61.5
A Man Called Otto,NaN,No,NaN,61.3
Peaky Blinders: Season 1,Yes,No,2014,61.1
Victorious: Season 1,Yes,No,NaN,61.1
Never Have I Ever: Season 1,Yes,Yes,2020,61.0
THE DAYS: Limited Series,NaN,No,2023,60.8
Eva Lasting: Season 1 // La primera vez: Temporada 1,Yes,Yes,2023,60.6
Unseen: Season 1,Yes,Yes,2023,60.1
Narcos: Season 1,Yes,Yes,2015,59.9
The Walking Dead: Season 6,Yes,No,NaN,59.8
MADOFF: The Monster of Wall Street: Limited Series,NaN,Yes,2023,59.6
The Witcher: Season 2,Yes,Yes,2021,59.3
Sky Rojo: Season 3,Yes,Yes,2023,58.5
Young Lady and Gentleman // 신사와 아가씨,NaN,No,NaN,58.5
Miraculous: Tales of Ladybug & Cat Noir: Season 1,Yes,No,NaN,58.3
Never Have I Ever: Season 3,Yes,Yes,2022,58.3
The Gray Man,NaN,Yes,2022,58.3
S.W.A.T. (2017): Season 2,Yes,No,NaN,57.9
ONE PIECE: East Blue // ワンピース: イーストブルー編,NaN,No,NaN,57.8
Brooklyn Nine-Nine: Season 1,Yes,No,NaN,57.5
New Amsterdam (2018): Season 4,Yes,No,NaN,57.5
Workin' Moms: Season 7,Yes,No,2023,57.5
Barbie Life in the Dreamhouse: Season 1,Yes,Yes,NaN,57.4
The Walking Dead: Season 7,Yes,No,NaN,57.4
The Blacklist: Season 8,Yes,No,NaN,57.0
The Sandman: Season 1,Yes,Yes,2022,56.7
True Spirit,NaN,Yes,2023,56.7
CoComelon: Season 5,Yes,No,2022,56.6
Gilmore Girls: Season 7,Yes,Yes,NaN,56.5
The Strays,NaN,Yes,2023,56.5
Suits (2011): Season 5,Yes,Yes,NaN,56.4
The Croods,NaN,No,NaN,56.4
Grizzy and the Lemmings: Season 1,Yes,No,NaN,56.3
The Empress: Season 1 // Die Kaiserin: Staffel 1,Yes,Yes,2022,56.0
Matilda (1996),NaN,No,NaN,55.7
Outlast: Season 1,Yes,Yes,2023,55.5
The Good Doctor: Season 1,Yes,No,NaN,55.5
CoComelon: Season 7,Yes,No,2023,55.2
Jane The Virgin: Season 1,Yes,Yes,NaN,55.2
The Blacklist: Season 4,Yes,No,NaN,55.2
VINLAND SAGA: Season 2 // ヴィンランド・サガ: シーズン2,Yes,No,NaN,55.1
The Queen of Flow: Season 1 // La reina del flow: Temporada 1,Yes,No,2018,55.0
Brooklyn Nine-Nine: Season 2,Yes,No,NaN,54.8
Carinha de Anjo: Season 1,Yes,No,NaN,54.4
"Surviving Escobar - Alias JJ: Season 1 // Sobreviviendo a Escobar, Alias JJ: Temporada 1",Yes,No,2017,54.4
The Circle: Season 5,Yes,Yes,2022,54.4
The Ultimatum: Queer Love: Season 1,Yes,Yes,2023,53.8
Never Have I Ever: Season 2,Yes,Yes,2021,53.7
Brooklyn Nine-Nine: Season 3,Yes,No,NaN,53.6
¡Que viva México!,NaN,Yes,2023,53.5
Emily in Paris: Season 2,Yes,Yes,2021,53.3
The Last Kingdom: Season 5,Yes,No,2022,53.3
Full Swing: Season 1,Yes,Yes,2023,53.1
The Walking Dead: Season 8,Yes,No,NaN,53.0
Welcome to Eden: Season 1 // Bienvenidos a Edén: Temporada 1,Yes,Yes,2022,53.0
We Can Be Heroes,NaN,Yes,2020,52.8
Arnold: Limited Series,NaN,Yes,2023,52.5
Better Call Saul: Season 1,Yes,No,2015,52.5
The King's Affection: Season 1 // 연모: 시즌 1,Yes,Yes,2021,52.4
Shameless (U.S.): Season 1,Yes,No,NaN,52.3
Missing: Dead or Alive?: Season 1,Yes,Yes,2023,52.2
Bodyguard: Season 1,Yes,Yes,2018,52.0
Dr. Seuss' The Lorax,NaN,No,NaN,52.0
1899: Season 1,Yes,Yes,2022,51.8
A Tourist's Guide to Love,NaN,Yes,2023,51.8
It's Okay to Not Be Okay: Season 1 // 사이코지만 괜찮아: 시즌 1,Yes,Yes,2020,51.8
Vikings (2013): Season 4,Yes,No,NaN,51.8
Faraway,NaN,Yes,2023,51.7
Blood & Gold,NaN,Yes,2023,51.6
I Am Georgina: Season 2 // Soy Georgina: Temporada 2,Yes,Yes,2023,51.6
The Blacklist: Season 5,Yes,No,NaN,51.6
Little Women: Limited Series // 작은 아씨들: 리미티드 시리즈,NaN,No,2022,51.3
Grey's Anatomy: Season 2,Yes,No,NaN,51.2
The Walking Dead: Season 9,Yes,No,NaN,51.2
The Office (U.S.): Season 3,Yes,No,NaN,51.0
The Last Kingdom: Season 1,Yes,Yes,2015,50.9
The Endless Night: Limited Series // Todo Dia a Mesma Noite: Minissérie,NaN,Yes,2023,50.8
Faithfully Yours,NaN,No,2023,50.6
Masha and the Bear: Season 3,Yes,No,NaN,50.4
Masha and the Bear: Season 5,Yes,No,NaN,50.3
The Office (U.S.): Season 5,Yes,No,NaN,50.1
2 Hearts,NaN,No,NaN,50.0
Suits (2011): Season 6,Yes,Yes,NaN,50.0
Tin & Tina,NaN,Yes,2023,49.7
The Blacklist: Season 6,Yes,No,NaN,49.6
Friends (1994): Season 6,Yes,No,NaN,49.4
Love Is Blind: Brazil: Season 2 // Casamento às Cegas: Brasil: Temporada 2,Yes,Yes,2022,49.3
VINLAND SAGA: Season 1 // ヴィンランド・サガ: シーズン1,Yes,Yes,NaN,49.3
"Newly Rich, Newly Poor: Season 1 // Nuevo rico, nuevo pobre: Temporada 1",Yes,No,NaN,49.2
The Lincoln Lawyer: Season 1,Yes,Yes,2022,49.2
Brooklyn Nine-Nine: Season 4,Yes,No,NaN,48.9
Cobra Kai: Season 5,Yes,Yes,2022,48.9
Orange Is the New Black: Season 1,Yes,Yes,2013,48.8
El final del paraíso: Season 1,Yes,No,NaN,48.6
Shooter: Season 1,Yes,No,2016,48.6
Brooklyn Nine-Nine: Season 5,Yes,No,NaN,48.5
Rosario Tijeras (Mexico): Season 1,Yes,No,NaN,48.5
The Smurfs (2021): Season 1,Yes,No,NaN,48.4
Emily in Paris: Season 1,Yes,Yes,2020,48.3
The Magician's Elephant,NaN,Yes,2023,48.3
Friends (1994): Season 5,Yes,No,NaN,48.2
Shrek,NaN,No,NaN,48.1
Suits (2011): Season 7,Yes,Yes,NaN,48.1
Teen Titans Go!: Season 5,Yes,No,NaN,48.1
